"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"ALIANZA COMPROMISO FEDERAL","501","1","CAPITAL FEDERAL","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","- ALIANZA COMPROMISO FEDERAL, LISTA: 1. PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","50"
"ALIANZA PROGRESISTAS","504","IGUALDAD Y DECENCIA","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","- ALIANZA PROGRESISTAS, LISTA: IGUALDAD Y DECENCIA. PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","50"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","GONZALEZ BAYON, MARTIN ANDRES","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","FAGANELLO, NATALIA CELESTE","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","QUINTEROS, OSCAR EDUARDO","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","BRITO, MATIAS EMILIANO","4"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","MASINI, FLORENCIA MARIEL","5"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","MUÑOZ, VIOLETA","6"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","CASTAGNINO, JOSE","7"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","PULLEIRO, ANA LAURA","8"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","GERON, BRENDA CARINA","9"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","DOUDTCHITZKI, NICOLAS","10"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","BEDOYA IDOYAGA, AGUEDA","11"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL TITULAR","FANJUL, ROBERTO volver","12"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","ACOSTA, MARIA EUGENIA","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","COLMAN, ALEX DARIO","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","HUANCA, ERICA LILIANA","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","TORRES, ALEJANDRO DAVID","4"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","ELIAS, MARIA LAURA","5"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","BALBUENA, BARBARA LUJAN","6"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","SUAREZ, LUIS EDMUNDO","7"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","DIPUTADO NACIONAL SUPLENTE","TORRES, HUILEN     volver","8"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","ZADUNAISKY, INES   volver","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","FAGANELLO, NATALIA CELESTE","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CAPITAL FEDERAL","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","KURLAT, ALEJANDRO JAVIER volver","2"
"AUTODETERMINACION Y LIBERTAD","187","A - CAMINAMOS PREGUNTANDO","CAPITAL FEDERAL","DIPUTADO","ZAMORA, LUIS FERNANDO","1"
"AUTODETERMINACION Y LIBERTAD","187","A - CAMINAMOS PREGUNTANDO","CAPITAL FEDERAL","DIPUTADO","MARTINEZ, MARTA JACQUELINE","2"
"AUTODETERMINACION Y LIBERTAD","187","A - CAMINAMOS PREGUNTANDO","CAPITAL FEDERAL","DIPUTADO","SALLUSTIO, SERGIO ADRIAN","3"
"AUTODETERMINACION Y LIBERTAD","187","A - CAMINAMOS PREGUNTANDO","CAPITAL FEDERAL","DIPUTADO","SORRENTINO, MARIANA CECILIA","4"
"AUTODETERMINACION Y LIBERTAD","187","A - CAMINAMOS PREGUNTANDO","CAPITAL FEDERAL","DIPUTADO","IACOBACCI, MARIANO NICOLAS","5"
