"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"ALIANZA FRENTE PARA LA VICTORIA","502","CELESTE Y BLANCA K NESTOR KIRCHNER","CATAMARCA","DIPUTADO NACIONAL","- ALIANZA FRENTE PARA LA VICTORIA, LISTA: CELESTE Y BLANCA K NESTOR KIRCHNER. DIPUTADO NACIONAL","50"
"ALIANZA FRENTE CIVICO Y SOCIAL","504","B - UNIDAD Y CAMBIO","CATAMARCA","PARLAMENTARIO MERCOSUR DISTRITO","- ALIANZA FRENTE CIVICO Y SOCIAL, LISTA: B - UNIDAD Y CAMBIO. PARLAMENTARIO MERCOSUR DISTRITO","50"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","DIPUTADO NACIONAL TITULAR","ARGAÑARAZ GERARDT, EDUARDO JAVIER","1"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","DIPUTADO NACIONAL TITULAR","BARROS, ANA CLARA DEL V volver","2"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","DIPUTADO NACIONAL SUPLENTE","DIAZ RAMOS, DANIELA BEATRIZ","1"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","DIPUTADO NACIONAL SUPLENTE","CUELLO, EMANUEL GASTON volver","2"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","ALANIS, MARIO ARNOLDO DEL VALLE volver","1"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","PAIS AHUMADA, MARIA ISABEL","1"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","GRANIZO, ANGEL RICARDO volver","2"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL TITULAR","DIAZ, HECTOR IGNACIO","1"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL TITULAR","CORRO, ROSA ARGELIA","2"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL TITULAR","PINETTA, GUSTAVO EDUARDO            volver","3"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL SUPLENTE","HERRERA, LIDIA ELIZABETH","1"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL SUPLENTE","VELEZ, PAOLA NICOLASA","2"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL SUPLENTE","BORDON, GERMAN JOSUE       volver","3"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL SUPLENTE","- MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES, LISTA: NUEVA IZQUIERDA. DIPUTADO","3"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL SUPLENTE","TOLABA, JOSE LUIS","1"
"OBRERO","194","1A - UNIDAD ROJO","CATAMARCA","SENADOR NACIONAL SUPLENTE","BARRIONUEVO, DELIA MARIA            volver","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","CATAMARCA","DIPUTADO","PAIS BOSCH, GONZALO L","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","CATAMARCA","DIPUTADO","SUELDO, ALBA JOSEFINA      volver","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","CATAMARCA","PARLAMENTARIO","FUENZALIDA, JASMINA MARIA           volver","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","CATAMARCA","PARLAMENTARIO","MALUGANI GUILLET, LIDIA ELENA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","CATAMARCA","PARLAMENTARIO","TORRES, RAUL HORACIO      volver","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","CATAMARCA","SENADOR","LAZARTE, CLARA ELISABEL","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","CATAMARCA","SENADOR","TORRES, FRANCISCO ARNALDO","2"
