"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","DIPUTADO NACIONAL TITULAR","VILLORDO, SILVIA ESTHER","1"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","DIPUTADO NACIONAL TITULAR","RANDON, SILVIA LORENA","2"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","DIPUTADO NACIONAL TITULAR","MENDOZA, JORGE CARLOS","3"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","DIPUTADO NACIONAL SUPLENTE","TEMPRANO, NELSON GASTON","1"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","DIPUTADO NACIONAL SUPLENTE","DUMONT, ALAIN HONORE","2"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","DIPUTADO NACIONAL SUPLENTE","VRSKA, NOEMI DEL CARMEN","3"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","SOSA, ROBERTO SILVIO","1"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","TORRES, KARINA VANESA","1"
"CIUDADANOS A GOBERNAR","179","A - CELESTE Y BLANCA","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GRAMAZZI, PAOLO HUGO","2"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","DIPUTADO NACIONAL TITULAR","LEGAL, DANILO POLO","1"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","DIPUTADO NACIONAL TITULAR","FIGUEROA, MONICA","2"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","DIPUTADO NACIONAL TITULAR","CABRAL, RAUL ENRIQUE","3"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","DIPUTADO NACIONAL SUPLENTE","YORIS, ESTELA","1"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","DIPUTADO NACIONAL SUPLENTE","MARGOSA, HECTOR ALBERTO","2"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","DIPUTADO NACIONAL SUPLENTE","TROPE, JORGE RAFAEL","3"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","SCHWARTZ, RODOLFO","1"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","BOTTA, LUCIA LEOPOLDINA","1"
"MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR","180","FRENTE VERDE","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","KOHLER, HUGO OSCAR","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","DIPUTADO NACIONAL TITULAR","RACH QUIROGA, ANALIA ALEXANDRA","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","DIPUTADO NACIONAL TITULAR","MASIN, MARIA LUCILA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","DIPUTADO NACIONAL TITULAR","RIOS, NESTOR FABIAN","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","DIPUTADO NACIONAL SUPLENTE","CRISTALDO, GLADIS NOEMI","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","DIPUTADO NACIONAL SUPLENTE","ABOITIZ, CRISTINA NIDIA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","DIPUTADO NACIONAL SUPLENTE","PEREZ, ADRIAN EDUARDO","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","SOTELO, JULIO RENE","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MACIEL, OSCAR","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","K - 17 DE OCTUBRE","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","FERNANDEZ, ALMENDRA CECILIA INES","2"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","DIPUTADO NACIONAL TITULAR","SANCHEZ, JOSE ALEJANDRO","1"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","DIPUTADO NACIONAL TITULAR","PRAT, ANA MARIA","2"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","DIPUTADO NACIONAL TITULAR","VILLALBA, CARLOS ALBERTO","3"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","DIPUTADO NACIONAL SUPLENTE","IBARRA, SERGIO DANIEL","1"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","DIPUTADO NACIONAL SUPLENTE","BAEZ, CRISTINA GRISELDA","2"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","DIPUTADO NACIONAL SUPLENTE","DOMINGUEZ, FABIAN PAULINO","3"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","PARDO, RICARDO ARITOBULO","1"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ROMERO, JESSICA GISELA","1"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","502","EL CAMBIO JUSTO","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MONTENEGRO, PEDRO","2"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","DIPUTADO NACIONAL TITULAR","GOICOECHEA, HORACIO","1"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","DIPUTADO NACIONAL TITULAR","MORALES, MONICA","2"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","DIPUTADO NACIONAL TITULAR","MIEREZ, SARA","3"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","DIPUTADO NACIONAL SUPLENTE","OGARA, ALICIA","1"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","DIPUTADO NACIONAL SUPLENTE","GUALTIERI, NINA","2"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","DIPUTADO NACIONAL SUPLENTE","MIERES, RAMON","3"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","VALDES, OSCAR","1"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","TERADA, ALICIA","1"
"ALIANZA CAMBIEMOS","503","A - UNIDOS","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MORO, MARIANO","2"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","DIPUTADO NACIONAL TITULAR","MARTINEZ FIDANI, CARLOS OMAR","1"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","DIPUTADO NACIONAL TITULAR","ALFONSO, MONICA ALEJANDRA","2"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","DIPUTADO NACIONAL TITULAR","BRAVO, MARCELO FABIAN","3"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","DIPUTADO NACIONAL SUPLENTE","ROMERO, NATALIA ANTONIA","1"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","DIPUTADO NACIONAL SUPLENTE","LEZCANO, PATRICIA NOELIA","2"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","DIPUTADO NACIONAL SUPLENTE","AGUIRRE, JUAN CARLOS","3"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","SIRI, EDUARDO ANIBAL","1"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MONGE, MONICA","1"
"ALIANZA PROGRESISTAS","504","A - UNIDAD","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","RAMIREZ ARBO, HUMBERTO EVARISTO JOSE","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","DIPUTADO NACIONAL TITULAR","BICEGLIA, RUBEN ANTONIO","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","DIPUTADO NACIONAL TITULAR","PENAYO, CLAUDIA CARINA","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","DIPUTADO NACIONAL TITULAR","PAULUKA, MARCELO AMERICO","3"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","DIPUTADO NACIONAL SUPLENTE","ALVAREZ, MIRTA","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","DIPUTADO NACIONAL SUPLENTE","ESCOBAR, AURORA","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","DIPUTADO NACIONAL SUPLENTE","BLANCO, RAUL RAMON","3"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","LOPEZ, CARLOS","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GOMEZ FERNANDEZ, MIRIAM LILIANA","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","A - AMARILLA Y NEGRA","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","JARA, ALICIA ELIZABETH","2"
"DEL OBRERO","71","2U - UNIDAD","CHACO","DIPUTADO NACIONAL TITULAR","GARCIA, JUAN MANUEL","1"
"DEL OBRERO","71","2U - UNIDAD","CHACO","DIPUTADO NACIONAL TITULAR","GOMEZ, ROCIO GRISELDA","2"
"DEL OBRERO","71","2U - UNIDAD","CHACO","DIPUTADO NACIONAL TITULAR","FERNANDEZ, JUAN RAMON","3"
"DEL OBRERO","71","2U - UNIDAD","CHACO","DIPUTADO NACIONAL SUPLENTE","CHAPO, GLADIS ESTHER","1"
"DEL OBRERO","71","2U - UNIDAD","CHACO","DIPUTADO NACIONAL SUPLENTE","BENITEZ, GLADIS ESTELA","2"
"DEL OBRERO","71","2U - UNIDAD","CHACO","DIPUTADO NACIONAL SUPLENTE","DENIZ, OSCAR HUMBERTO","3"
"DEL OBRERO","71","2U - UNIDAD","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","DIAZ, AURELIO","1"
"DEL OBRERO","71","2U - UNIDAD","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","AMARILLA, MARIA ESTHER","1"
"DEL OBRERO","71","2U - UNIDAD","CHACO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","VELEZ, ADRIAN EMMANUEL","2"
