"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","ROGERS, ADRIANA ELISABETH","1"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","CABRERA, MARIA NERIS","2"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","CARDOZO, PABLO JAVIER","3"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","PETERSEN, ALFREDO ALEJANDRO","1"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","SEÑORINI, INES AMELIA","2"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","MELIVILO, IRIS RAQUEL","3"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","BALLE, HUGO GUILLERMO","1"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","ULLUA, ERMELINDA MANUELA","1"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","ARCE, CLELIA ISABEL","2"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","FUENZALIDA, MARIA DEOLINDA","1"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","GONZALEZ, EDUARDO ALFREDO","2"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","CIANCIO, STELLA MARIS","1"
"DEL TRABAJO Y DEL PUEBLO","74","UNIDAD","CHUBUT","SENADOR NACIONAL SUPLENTE","ESQUIVEL, HECTOR ALBERTO","2"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","DIPUTADO NACIONAL TITULAR","CARO, GUSTAVO MARTIN","1"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","DIPUTADO NACIONAL TITULAR","CAÑUMIL, AMELIA CLARA","2"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","DIPUTADO NACIONAL TITULAR","MALDONADO, JAVIER FRANCISCO","3"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","DIPUTADO NACIONAL SUPLENTE","SPINZANTI, LILIANA SUSANA","1"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","DIPUTADO NACIONAL SUPLENTE","VARELA, ALBERTO DIOGENES","2"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","DIPUTADO NACIONAL SUPLENTE","ROGEL, JULIO CESAR CEFERINO","3"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","PARLAMENTARIO MERCOSUR DISTRITO","SCHNEIDER, GUILLERMO MILTON","1"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","PARLAMENTARIO MERCOSUR DISTRITO","SARASATE, CECILIA ALEJANDRA","1"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","PARLAMENTARIO MERCOSUR DISTRITO","BULNES, OMAR ALEJANDRO","2"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","SENADOR NACIONAL TITULAR","DELGADO, MIRTA ANTONINA","1"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","SENADOR NACIONAL TITULAR","MATIAS, CLAUDIO RICARDO","2"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","SENADOR NACIONAL SUPLENTE","BRAESE, ELOY RAMON","1"
"ACCION CHUBUTENSE","157","FEDERAL Y POPULAR ROJA","CHUBUT","SENADOR NACIONAL SUPLENTE","FIALLO, ELVIRA AGUEDA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","DIPUTADO NACIONAL","PEREZ DURAN, JUAN RENE","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","DIPUTADO NACIONAL","SANDOVAL, ANGELA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","DIPUTADO NACIONAL","GARCIA, MELINA","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","DIPUTADO NACIONAL","ROLON SOSA, MANUEL HORACIO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","DIPUTADO NACIONAL","GUTIERREZ, NOELIA SABRINA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","DIPUTADO NACIONAL","SOSA, IMANOL","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","DIPUTADO NACIONAL","GARCIA, FABIAN ALBERTO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","PARLAMENTARIO","MASIP, ANDRES","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","PARLAMENTARIO","PINTO, SILVIA ELIDA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","SENADOR NACIONAL","SANDOBAL, LUCIA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","SENADOR NACIONAL","SAYAGO, LUIS SEBASTIAN","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","SENADOR NACIONAL","LLARYORA, CARLOS ENRIQUE","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","CHUBUT","SENADOR NACIONAL","IMAZ, ESTHER NOEMI","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","DIPUTADO NACIONAL","SANCHEZ, VICTOR HUGO","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","DIPUTADO NACIONAL","CASTRO, CYNTHIA TAMARA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","DIPUTADO NACIONAL","ACOSTA, NADIA SOLEDAD","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","DIPUTADO NACIONAL","AMARILLA, NESTOR FABIAN","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","DIPUTADO NACIONAL","SAIBIENE, ANGELA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","DIPUTADO NACIONAL","HIRIGOYEN, NELSON OMAR","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","PARLAMENTARIO","BLASER, GUILLERMO ESTEBAN","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","PARLAMENTARIO","DIAZ, JUAN MARCELO","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","PARLAMENTARIO","MORAND, SANDRA LILIANA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","SENADOR NACIONAL","VENTURA, FERNANDO MAGIN","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","SENADOR NACIONAL","SANCHEZ, CLAUDIA LORENA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","SENADOR NACIONAL","AYALA, BRENDA ELIZABETH","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","A - MUCHOS POR CHUBUT","CHUBUT","SENADOR NACIONAL","FERNANDEZ, DOMINGO ADAN","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","IGON, SANTIAGO NICOLAS","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","LLANOS MASSA, ANA MARIA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","MARTINEZ, ARGENTINA NOEMI","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","CONTRERAS, MONICA GRACIELA","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","GLINSKI, JOSE ALEJANDRO","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","HOURCADE, NESTOR RUBEN","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","BELIZ PEREIRA, CARLOS ALFREDO","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","GONZALEZ, ROSA ELENA","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","RAVAROTTO, NATALIA SOLEDAD","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","PAIS, JUAN MARIO","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","DIPUTADO","GONZALEZ, NANCY SUSANA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","SENADOR","RUFFA, FEDERICO JOSE","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","CHUBUT","SENADOR","CARRAZZA, GRACIELA DORA","2"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","TABOADA, JORGE OMAR","1"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","CRESPO, MIRYHAN BEATRIZ","2"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","BARROSO, ANA MARIA","3"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","MONDILLO PACCAGNELA, GONZALO DAMIAN","1"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","HUICHAQUEO, LETICIA BIBIANA","2"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","REAL, DANIEL ARNALDO","3"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","CREA, HORACIO HECTOR","1"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","MUÑOZ, ROSA ROSARIO","1"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","DIPUTADO","ALMIRON, VIVIANA RAQUEL","2"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","SENADOR","LUENZO, ALFREDO HECTOR","1"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","SENADOR","DI PERNA, GRACIELA AGUSTINA","2"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","SENADOR","BOHE, SERGIO ISIDRO","1"
"ALIANZA FRENTE UNION CHUBUT SOMOS TODOS","502","A - POR SIEMPRE CHUBUT","CHUBUT","SENADOR","ROMERO, HAYDEE MIRTHA","2"
"ALIANZA CAMBIEMOS CHUBUT","503","A - EL VERDADERO CAMBIO","CHUBUT","PARLAMENTARIO","MENNA, ALBERTO GUSTAVO","1"
"ALIANZA CAMBIEMOS CHUBUT","503","A - EL VERDADERO CAMBIO","CHUBUT","PARLAMENTARIO","VALLEJOS, ANA MARIA","1"
"ALIANZA CAMBIEMOS CHUBUT","503","A - EL VERDADERO CAMBIO","CHUBUT","PARLAMENTARIO","BASCOUR, CRISTINA LORENA","2"
"ALIANZA CAMBIEMOS CHUBUT","503","A - EL VERDADERO CAMBIO","CHUBUT","SENADOR NACIONAL","CIMADEVILLA, MARIO JORGE","1"
"ALIANZA CAMBIEMOS CHUBUT","503","A - EL VERDADERO CAMBIO","CHUBUT","SENADOR NACIONAL","RASO, MARTA ETHEL","2"
"ALIANZA CAMBIEMOS CHUBUT","503","A - EL VERDADERO CAMBIO","CHUBUT","SENADOR NACIONAL","SANTOS, CARLOS DARIO","1"
"ALIANZA CAMBIEMOS CHUBUT","503","A - EL VERDADERO CAMBIO","CHUBUT","SENADOR NACIONAL","MEDINA, MARIANA PAOLA","2"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","DIPUTADO NACIONAL TITULAR","DIAZ VELEZ, MIGUEL","1"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","DIPUTADO NACIONAL TITULAR","RIOS, PILAR BEATRIZ","2"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","DIPUTADO NACIONAL TITULAR","PAVERINI, EDUARDO JORGE","3"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","DIPUTADO NACIONAL SUPLENTE","DAMIS, MARGARITA GRACIELA","1"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","DIPUTADO NACIONAL SUPLENTE","CORRO, MIGUEL ANGEL","2"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","DIPUTADO NACIONAL SUPLENTE","CORA, HUGO DANIEL","3"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","PARLAMENTARIO MERCOSUR DISTRITO","AYESTARAN, OSCAR GABRIEL","1"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","PARLAMENTARIO MERCOSUR DISTRITO","MICHITSCH, MARIA MATILDE","1"
"ALIANZA CAMBIEMOS CHUBUT","503","ACTITUD I","CHUBUT","PARLAMENTARIO MERCOSUR DISTRITO","ZAMPELLA, OSVALDO GABRIEL","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","MARTINEZ, CELMIRA ANTONIA","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","MESA, ELVIO RICARDO","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","MORAGA, CRISTIAN MAURICIO","3"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","SEPULVEDA, CAMILA","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","HERRERA VIANEL, FABIAN","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","MUÑOZ, BARBARA BEATRIZ","3"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","AGÜERO, ELMA MARIA","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","MESA, ABELARDO","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","DIPUTADO","PILQUIMAN, MARIA ANTONIA","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","SENADOR","AGÜERO, EZEQUIEL","1"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","SENADOR","BASTIDA, MIRTA CLARA","2"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","JUSTICIA Y DIGNIDAD","CHUBUT","SENADOR","GOZAINE, SANDRA LILIANA","1"
