"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","DI SANTI, JULIA","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","GOMEZ, LUIS AGUSTIN","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","SANCHEZ, MARIA EUGENIA","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","MASTROTI, FLORENCIO RAUL ANTONIO","4"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","TOLEDO, MARIA FLORENCIA","5"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","PEREYRA, MARIA LUISA","6"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","ROCCA, ROBERTO CAYETANO","7"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","TEVEZ, JAVIER CARLOS ALBERTO","8"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL TITULAR","FLORES, GUADALUPE INES","9"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL SUPLENTE","FERRI, ANA TRINIDAD","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL SUPLENTE","PALLERO, ANA MARIA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL SUPLENTE","MINASSIAN, EMILIANO LUIS","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL SUPLENTE","FERNANDEZ, CINTIA NATALIA","4"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL SUPLENTE","ARDANAZ, EZEQUIEL","5"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","DIPUTADO NACIONAL SUPLENTE","TORTOSA, VICTORIA","6"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","BELIZAN, SANTIAGO HORACIO","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MACCIONI, DAVINA","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","CORDOBA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","PEREYRA, MARTIN LEONARDO","2"
