"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","DIPUTADO NACIONAL","GONZALEZ, CRISTIAN EDGARDO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","DIPUTADO NACIONAL","ACUÑA, RAMONA RAQUEL","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","DIPUTADO NACIONAL","MORENO, ALEJANDRO","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","DIPUTADO NACIONAL","ALMIRON, CLAUDIA RAMONA","4"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","DIPUTADO NACIONAL","AREJOLA, DIEGO ARIEL","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","DIPUTADO NACIONAL","CAÑETE, CRISTINA MERCEDES","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","DIPUTADO NACIONAL","LEGARRETA, JOSE LUIS","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","PARLAMENTARIO","ESCALANTE, MIRTA ADELA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","PARLAMENTARIO","GONZALEZ, EDGARDO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","PARLAMENTARIO","TOLEDO, MELISA SOLEDAD","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","ROMERO, OMAR JESUS","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","JOTINSKY, ESTER ROSA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","BARBIERO, JUAN LUIS","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","VALENZUELA, JUANA MIRTA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","NUÑEZ, JUAN CARLOS","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","ESQUIVEL, ORIEL EDGARDO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","COLUNGA, MONICA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","GONZALEZ LEMOS, RODOLFO","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","CORRIENTES","SENADOR NACIONAL","INSAURRALDE, BEATRIZ DEL CARMEN","4"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","DIPUTADO NACIONAL SUPLENTE","URQUIDIZ, DANIEL NICOLAS","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","DIPUTADO NACIONAL SUPLENTE","BRIZUELA, LUCIA CRESENCIA","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","DIPUTADO NACIONAL SUPLENTE","MENDEZ CAPURRO, JOSE JACINTO","3"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","PARLAMENTARIO MERCOSUR","ALMADA, JUAN PANTALEON","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","PARLAMENTARIO MERCOSUR","LAGRAÑA, SILVANA ROCIO","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","PARLAMENTARIO MERCOSUR","GALVAN, IGNACIO","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL TITULAR","ROMERO, GABRIEL ALEJANDRO","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL TITULAR","GONZALEZ LEMOS, VERONICA","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL TITULAR","DEL YESSO, FRANCISCO OSCAR","3"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","ACOSTA, ROBERTO LEONARDO","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","ENCINA, LORENA MARGARITA","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","ANTONUCCHI, LEONIDAS MIGUEL","3"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","RUIZ ARAGON, JOSE ARNALDO","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","FERREYRA, ARACELI SUSANA DEL ROSARIO","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","MACIAS, OSCAR ALBERTO","3"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","DIAZ, BIENVENIDA","4"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","HUICI, HUMBERTO HUGO","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","AQUINO, NATALIA","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","CARAM, MARTIN","3"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","KARLEN, ALEJANDRO HERNAN","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","RINDEL, ELSA PATRICIA","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","ZULLI, CHRISTIAN ALEJANDRO","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","ESPINOLA, CARLOS MAURICIO","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","ALMIRON, ANA CLAUDIA","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","SILVA, MARIO RAUL","3"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","DELGADO, DEBORA VANESA","1"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","SILVA, JUAN JOSE FRANCISCO","2"
"ALIANZA PROGRESISTAS","501","A - IGUALDAD Y DECENDENCIA","CORRIENTES","SENADOR NACIONAL SUPLENTE","DE LOS SANTOS, NATALIA SOLEDAD","3"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - COMPROMISO PERONISTA","CORRIENTES","PARLAMENTARIO","PONCE DE LEON, HUGO MARCELO","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - COMPROMISO PERONISTA","CORRIENTES","PARLAMENTARIO","CAVALIERI, FLAVIA DAIANA","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - COMPROMISO PERONISTA","CORRIENTES","PARLAMENTARIO","COLICHELLI, JORGE ALEJANDRO","2"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - COMPROMISO PERONISTA","CORRIENTES","PARLAMENTARIO","POZO, HORACIO VICENTE","1"
