"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","DIPUTADO NACIONAL TITULAR","BENETTI, PABLO LUIS","1"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","DIPUTADO NACIONAL TITULAR","TRONCOSO, ESTELA","2"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","DIPUTADO NACIONAL TITULAR","ROSSI, JUAN MANUEL","3"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","DIPUTADO NACIONAL TITULAR","STRONATI, MIRTA GRACIELA","4"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","DIPUTADO NACIONAL SUPLENTE","DOME, GUALBERTO ALFONSO","1"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","DIPUTADO NACIONAL SUPLENTE","ACEVEDO, MARIA LUISA","2"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","DIPUTADO NACIONAL SUPLENTE","DEN DAUW KUTTEL, OSCAR DARIO","3"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","REINHARDT, JORGE ALBERTO","1"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","SOTELO, MARIA FERNANDA","1"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ARQUES, CARLOS RODOLFO","2"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","SOLANAS, JULIO RODOLFO FRANCISCO","1"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","HUSS, JUAN MANUEL","2"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","RIOS, LILIANA MARIA","3"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","BIANQUERI, MYRIAM LILIANA","4"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","CASARETTO, MARCELO PABLO","1"
"SOCIALISTA","50","PROGRESISTAS","ENTRE RIOS","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GIANNECCHINI, JULIETA ANABEL","2"
