"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD","60","","FORMOSA","DIPUTADO NACIONAL SUPLENTE","- MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD, LISTA: . PARLAMENTARIO MERCOSUR DISTRITO","6"
"OBRERO","204","2U - UNIDAD","FORMOSA","DIPUTADO NACIONAL TITULAR","SERVIN, CARLOS FABIAN","1"
"OBRERO","204","2U - UNIDAD","FORMOSA","DIPUTADO NACIONAL TITULAR","CORONEL, NATALIA SOLEDAD            volver","2"
"OBRERO","204","2U - UNIDAD","FORMOSA","DIPUTADO NACIONAL SUPLENTE","NUÑEZ, JAVIER MAXIMILIANO","1"
"OBRERO","204","2U - UNIDAD","FORMOSA","DIPUTADO NACIONAL SUPLENTE","KALYN, CESAR UBANDO","2"
"OBRERO","204","2U - UNIDAD","FORMOSA","DIPUTADO NACIONAL SUPLENTE","HERRERA, CINTIA MARIBEL volver","3"
"OBRERO","204","2U - UNIDAD","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","SAPKUS, SERGIO OMAR        volver","1"
"OBRERO","204","2U - UNIDAD","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ESCOBAR, MARIA LILIANA","1"
"OBRERO","204","2U - UNIDAD","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","OLMEDO, DIEGO MARTIN       volver","2"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","DIPUTADO NACIONAL TITULAR","MIGUEZ, PABLO SEBASTIAN","1"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","DIPUTADO NACIONAL TITULAR","NUÑEZ, ROSSANA EDITH","2"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","DIPUTADO NACIONAL TITULAR","PEREZ, JORGE      volver","3"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","DIPUTADO NACIONAL SUPLENTE","ALMIRON, NELSON LUIS","1"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","DIPUTADO NACIONAL SUPLENTE","PIRIA, ISABEL ROSA","2"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","DIPUTADO NACIONAL SUPLENTE","GOMEZ, JUAN CARLOS         volver","3"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","GONZALEZ, BERNARBE         volver","1"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","DI MORILLA, DIEGO ARNALDO","1"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","LEON, ROSA BEATRIZ volver","2"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","- ALIANZA FRENTE PARA LA VICTORIA, LISTA: CELESTE Y BLANCA K NESTOR KIRCHNER. DIPUTADO","50"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","BASTERRA, LUIS EUGENIIO","1"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","LOTTO, INES BEATRIZ","2"
"PRINCIPIOS Y CONVICCION","212","","FORMOSA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","FERNANDEZ PATRI, GUSTAVO RAMIRO              volver","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","FORMOSA","DIPUTADO","GOMEZ, ANIBAL FRANCISCO","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","FORMOSA","DIPUTADO","GONZALEZ, MARIA TERESA MARGARITA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","FORMOSA","DIPUTADO","GIMENEZ, VICTOR FERMIN volver","3"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","FORMOSA","DIPUTADO","OVIEDO, RICARDO CRISTOBAL           volver","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","FORMOSA","DIPUTADO","JOULIA, SILVINA TILA","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","FORMOSA","DIPUTADO","ARAOZ, JULIO RENE volver","2"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","DIPUTADO NACIONAL","HERNANDEZ, MARTIN OSVALDO","1"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","DIPUTADO NACIONAL","SEMINARA, TERESITA GRACIELA","2"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","DIPUTADO NACIONAL","POLO, MIGUEL ANGEL       volver","3"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","DIPUTADO NACIONAL","LEGUIZAMON, CARLOS FEDERICO","1"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","DIPUTADO NACIONAL","ZARATE, IRINA HAYDEE","2"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","DIPUTADO NACIONAL","CORONEL, RODOLFO ELIGIO volver","3"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","PARLAMENTARIO","COSTA, MANUEL DANIEL       volver","1"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","PARLAMENTARIO","- ALIANZA FRENTE AMPLIO FORMOSEÑO, LISTA: A - UNIDAD FORMOSEÑA. PARLAMENTARIO","50"
"ALIANZA FRENTE AMPLIO FORMOSEÑO","502","A - UNIDAD FORMOSEÑA","FORMOSA","PARLAMENTARIO","CHAVES, GISELA SILVINA","1"
