"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","DIPUTADO NACIONAL TITULAR","RIELA, DOMINGO CEFERINO","1"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","DIPUTADO NACIONAL TITULAR","FERREIRA, MONICA BEATRIZ","2"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","DIPUTADO NACIONAL SUPLENTE","RAMALLO, CARLOS ALBERTO","1"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","DIPUTADO NACIONAL SUPLENTE","QUIROZ, MIRIAM ADRIANA","2"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","RE, ROBERTO FEDERICO","1"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GIRALDEZ, MARISA TAMARA","1"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","FIGUN, ANDREA FABIANA","2"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","SENADOR NACIONAL TITULAR","NEVEU, MARIA BEATRIZ","1"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","SENADOR NACIONAL TITULAR","SCHLAPS, NESTOR ATILIO","2"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","SENADOR NACIONAL SUPLENTE","DURANTE, BIBIANA GRACIELA","1"
"PUEBLO NUEVO","184","A - EL CAMBIO JUSTO","LA PAMPA","SENADOR NACIONAL SUPLENTE","ARANDA, NORMA BEATRIZ","2"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","DIPUTADO NACIONAL TITULAR","LUPARDO, CLAUDIA EUGENIA","1"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","DIPUTADO NACIONAL TITULAR","PUMILLA, JUAN SALVADOR","2"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","DIPUTADO NACIONAL SUPLENTE","HURTADO, NOELIA CLAUDIA","1"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","DIPUTADO NACIONAL SUPLENTE","POLO, ELSA GLADYS","2"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","PALCZEWICZ, AGUSTINA","1"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","DE CRISTOFARO, JUAN PABLO","1"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GIACOMELLI, OSVALDO RAUL","2"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","SENADOR NACIONAL TITULAR","FILIPPA, VICTOR ESTEBAN","1"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","SENADOR NACIONAL TITULAR","BLANCO, CARMEN GRACIELA","2"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","SENADOR NACIONAL SUPLENTE","LUPARDO, PATRICIA CERES","1"
"DE LOS TRABAJADORES SOCIALISTAS","190","1A - RENOVAR Y FORTALECER EL FRENTE","LA PAMPA","SENADOR NACIONAL SUPLENTE","DIAZ, SILVIA MERCEDES","2"
"SOCIALISTA AUTENTICO","30","A - AHORA EL PUEBLO","LA PAMPA","DIPUTADO NACIONAL TITULAR","ARAUJO, RICARDO DANIEL","1"
"SOCIALISTA AUTENTICO","30","A - AHORA EL PUEBLO","LA PAMPA","DIPUTADO NACIONAL TITULAR","CARASSAY, MARY FELICITAS","2"
"SOCIALISTA AUTENTICO","30","A - AHORA EL PUEBLO","LA PAMPA","DIPUTADO NACIONAL SUPLENTE","PEREZ FUNES, DANIEL","1"
