"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL TITULAR","UCEDA, GERARDO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL TITULAR","RIOS, ANA MARIA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL TITULAR","SCANIO, ANDRES DANTE","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL TITULAR","PEREIRA, GABRIEL CEFERINO","4"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL TITULAR","VERNAZZI, MARIA LAURA","5"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL SUPLENTE","BIGNANTE, JULIETA ELINA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL SUPLENTE","LENTZ, WALTER SEBASTIAN JESUS","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","DIPUTADO NACIONAL SUPLENTE","SOSA, JUAN RAFAEL","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","FERNANDEZ, NICOLAS FABIAN","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","SCANIO, VIVIANA VICTORIA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","RECABARREN, LORENA DEL CARMEN","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","SENADOR NACIONAL TITULAR","MARIANETTI, MARCIA GISELA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","SENADOR NACIONAL TITULAR","LECEA, MARTIN IGNACIO","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","SENADOR NACIONAL SUPLENTE","CORREA, NELIDA VIRGINIA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","1 - UNIDAD","MENDOZA","SENADOR NACIONAL SUPLENTE","GIL, OSCAR ALFREDO","2"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL TITULAR","SICILIA, CARLOS MARCELO","1"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL TITULAR","FARINA, MARIA EMILCE","2"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL TITULAR","MARTINEZ, LUCAS EZEQUIEL","3"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL TITULAR","CASTILLA, MAYRA ALEJANDRA","4"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL TITULAR","POLONI, MAXIMILIANO JESUS","5"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL SUPLENTE","BIDAUX, RUBEN","1"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL SUPLENTE","SOSA, EDITH YOLANDA","2"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","DIPUTADO NACIONAL SUPLENTE","MAGRI, DANIEL OMAR","3"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","GARBUIO PECHE, OSCAR MARTIN","1"
"ALIANZA FRENTE RENOVADOR FEDERAL DE LA ESPERANZA","501","","MENDOZA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","LACIAR, CLAUDIO LUIS","1"
