"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","DIPUTADO NACIONAL TITULAR","DALMAU, HECTOR LUIS RODOLFO","1"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","DIPUTADO NACIONAL TITULAR","OJEDA, MARISA LEONARDA","2"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","DIPUTADO NACIONAL TITULAR","SILVEIRA DE ANDRADE, CARLOS ALBERTO","3"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","DIPUTADO NACIONAL TITULAR","RYCHLUK, GLORIA MARIA E","4"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","DIPUTADO NACIONAL SUPLENTE","FIGUEREDO, JUAN ALBERTO","1"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","DIPUTADO NACIONAL SUPLENTE","CONTAVALLE, CLAUDIA BEATRIZ","2"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","DIPUTADO NACIONAL SUPLENTE","GRUBERT, SERGIO RAMON","3"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","PEREZ, RAUL JOSE","1"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","ORFILA, JUAN MIGUEL","1"
"NUEVO OCTUBRE","165","10 - AZUL Y BLANCA","MISIONES","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","DEPOTATO, CLAUDIA ANDREA","2"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","BARBARO, HECTOR ORLANDO","1"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","MARTINEZ, SILVANA NOEMI","2"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","SERVIAN, JULIO RAMON","3"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","DORETTO, MIRIAM FABIANA","4"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","PALLOTTINI, MARTA BEATRIZ","1"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","DA SILVA SOUZA, PAOLA ROSIO","2"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","KUSIK, EMILIO ROSARIO","3"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","DIPUTADO NACIONAL","LENGUAZA, PABLO ISAAC","1"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","PARLAMENTARIO","EBENAU, LAURA ANDREA","1"
"PROYECTO POPULAR","169","K - PROYECTO AGRARIO Y SOCIAL P.A.Y.S.","MISIONES","PARLAMENTARIO","CANTEROS, PEDRO BARTOLOME","2"
"UNION CIVICA RADICAL","3","3A - POR MISIONES","MISIONES","DIPUTADO NACIONAL TITULAR","DAMIANI, HERNAN NORBERTO LUIS","1"
"UNION CIVICA RADICAL","3","3A - POR MISIONES","MISIONES","DIPUTADO NACIONAL TITULAR","CARDOZO, CYNTHIA MARCELA","2"
"UNION CIVICA RADICAL","3","3A - POR MISIONES","MISIONES","DIPUTADO NACIONAL TITULAR","ALVAREZ, HORACIO JOSE MARIA","3"
