"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO AL SOCIALISMO","13","SoB","NEUQUEN","DIPUTADO NACIONAL TITULAR","RUIZ, LUCAS","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","NEUQUEN","DIPUTADO NACIONAL TITULAR","CHRISTIANSEN, FERNANDA BELEN","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","NEUQUEN","DIPUTADO NACIONAL SUPLENTE","GUTIERREZ, DAMIAN","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","NEUQUEN","DIPUTADO NACIONAL SUPLENTE","TORRES, ANDREA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","NEUQUEN","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","URIBE, JUAN","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","NEUQUEN","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","CARABELLI, MARIO","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","NEUQUEN","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","URRUTIA, MARGARITA","2"
"MOVIMIENTO POPULAR NEUQUINO","151","AZUL PRIMERO NEUQUEN","NEUQUEN","DIPUTADO NACIONAL","KAISER, RODOLFO 'RODY'","1"
"MOVIMIENTO POPULAR NEUQUINO","151","AZUL PRIMERO NEUQUEN","NEUQUEN","DIPUTADO NACIONAL","PESEK, VIVIANA","2"
"MOVIMIENTO POPULAR NEUQUINO","151","AZUL PRIMERO NEUQUEN","NEUQUEN","DIPUTADO NACIONAL","SANCHEZ, DAVID JESUS","1"
"MOVIMIENTO POPULAR NEUQUINO","151","AZUL PRIMERO NEUQUEN","NEUQUEN","DIPUTADO NACIONAL","MORTADA, MARISA YASMIN","2"
"MOVIMIENTO POPULAR NEUQUINO","151","AZUL PRIMERO NEUQUEN","NEUQUEN","PARLAMENTARIO","DE OTAÑO, SILVIA NOEMI","1"
"MOVIMIENTO POPULAR NEUQUINO","151","AZUL PRIMERO NEUQUEN","NEUQUEN","PARLAMENTARIO","MENDEZ, ANDRES GABRIEL","1"
"MOVIMIENTO POPULAR NEUQUINO","151","AZUL PRIMERO NEUQUEN","NEUQUEN","PARLAMENTARIO","LI PRETI, ALEJANDRA","2"
"MOVIMIENTO POPULAR NEUQUINO","151","CORRIENTE PROVINCIAL Y POPULAR","NEUQUEN","DIPUTADO","ALVEDO TOBARES, JORGE OMAR","1"
"MOVIMIENTO POPULAR NEUQUINO","151","CORRIENTE PROVINCIAL Y POPULAR","NEUQUEN","DIPUTADO","MONSALVEZ, SILVIA","2"
"MOVIMIENTO POPULAR NEUQUINO","151","CORRIENTE PROVINCIAL Y POPULAR","NEUQUEN","DIPUTADO","SALAS, JORGE OMAR 'EL CHINO'","1"
"MOVIMIENTO POPULAR NEUQUINO","151","CORRIENTE PROVINCIAL Y POPULAR","NEUQUEN","DIPUTADO","RIVERA, FANNY AURORA","2"
"MOVIMIENTO POPULAR NEUQUINO","151","CORRIENTE PROVINCIAL Y POPULAR","NEUQUEN","DIPUTADO","MARTINEZ, LUIS OSCAR","1"
"MOVIMIENTO POPULAR NEUQUINO","151","CORRIENTE PROVINCIAL Y POPULAR","NEUQUEN","DIPUTADO","MUÑOZ, MARIA BEATRIZ ISABEL","1"
"MOVIMIENTO POPULAR NEUQUINO","151","CORRIENTE PROVINCIAL Y POPULAR","NEUQUEN","DIPUTADO","SEPULVEDA, CEFERINO ANTONIO “CHEFO”","2"
"MOVIMIENTO POPULAR NEUQUINO","151","MILITANCIA POPULAR NEUQUINA","NEUQUEN","DIPUTADO","OMAR, LORENZO CARLOS","1"
"MOVIMIENTO POPULAR NEUQUINO","151","MILITANCIA POPULAR NEUQUINA","NEUQUEN","DIPUTADO","PETRIS, SUSANA RAQUEL","2"
"MOVIMIENTO POPULAR NEUQUINO","151","MILITANCIA POPULAR NEUQUINA","NEUQUEN","DIPUTADO","FUENTES, 'LA GATA' CARLOS ERNESTO","1"
"MOVIMIENTO POPULAR NEUQUINO","151","MILITANCIA POPULAR NEUQUINA","NEUQUEN","DIPUTADO","FUENTES, GLADYS ESTELA","2"
"MOVIMIENTO POPULAR NEUQUINO","151","MILITANCIA POPULAR NEUQUINA","NEUQUEN","PARLAMENTARIO","ESPINOS, ALEJANDRO ALFREDO","1"
"MOVIMIENTO POPULAR NEUQUINO","151","MILITANCIA POPULAR NEUQUINA","NEUQUEN","PARLAMENTARIO","MARTINEZ, JOSE ARNOLDO","1"
"MOVIMIENTO POPULAR NEUQUINO","151","MILITANCIA POPULAR NEUQUINA","NEUQUEN","PARLAMENTARIO","PASTE, CARLA ZULEMA","2"
"UNION POPULAR","23","UNA NUEVA ARGENTINA FEDERAL","NEUQUEN","DIPUTADO NACIONAL TITULAR","SANCHEZ, CARLOS ENRIQUE","1"
"UNION POPULAR","23","UNA NUEVA ARGENTINA FEDERAL","NEUQUEN","DIPUTADO NACIONAL TITULAR","BOURDIEU, GRACIELA BEATRIZ","2"
"UNION POPULAR","23","UNA NUEVA ARGENTINA FEDERAL","NEUQUEN","DIPUTADO NACIONAL SUPLENTE","HERIBERTO, ALEJANDRA MALENA","1"
"UNION POPULAR","23","UNA NUEVA ARGENTINA FEDERAL","NEUQUEN","DIPUTADO NACIONAL SUPLENTE","SANCHEZ, ALBERTO EDUARDO","2"
"UNION POPULAR","23","UNA NUEVA ARGENTINA FEDERAL","NEUQUEN","PARLAMENTARIO MERCOSUR","ROMERO, GABRIEL LUIS 'TOM'","1"
"UNION POPULAR","23","UNA NUEVA ARGENTINA FEDERAL","NEUQUEN","PARLAMENTARIO MERCOSUR","BARRIONUEVO, OSCAR HORACIO","1"
"UNION POPULAR","23","UNA NUEVA ARGENTINA FEDERAL","NEUQUEN","PARLAMENTARIO MERCOSUR","MADRAZO, MARIA VERONICA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","CIAMPINI, ALBERTO","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","BERTOLDI, TANYA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","CANINI, RODOLFO","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","BARABINI, LORENA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","RIOSECO, RAMON","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","PARRILLI, OSCAR","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","DICCIANI, MARIA GABRIELA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","GODOY, RAUL","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","CARDOSO, MICAELA","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","HERNANDEZ, JULIA","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","BOBADILLA, ROBERTO","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","HORMAZABAL, NATALIA","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","PEÑIÑORI, DAMIAN","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","CELESTE Y BLANCA K NESTOR KIRCHNER","NEUQUEN","DIPUTADO","CARBAJAL, PAULA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","502","UNIDAD","NEUQUEN","DIPUTADO NACIONAL","LAGUNAS, ANGELICA NOEMI","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","502","UNIDAD","NEUQUEN","DIPUTADO NACIONAL","SUPPICICH, MARIA GABRIELA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","502","UNIDAD","NEUQUEN","DIPUTADO NACIONAL","SANCHEZ, JOSE MANUEL","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","502","UNIDAD","NEUQUEN","DIPUTADO NACIONAL","CIRAOLO, DINA GRISELDA MARILINA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","502","UNIDAD","NEUQUEN","DIPUTADO NACIONAL","JURE, PATRICIA NOEMI","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","502","UNIDAD","NEUQUEN","PARLAMENTARIO","SANLES, MIRIAM LILIANA","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","502","UNIDAD","NEUQUEN","PARLAMENTARIO","PARRA JARA, CESAR ANTONIO","2"
"ALIANZA FRENTE POPULAR","503","PROTAGONISMO Y PARTICIPACION","NEUQUEN","DIPUTADO NACIONAL","GARCIA, LAURA EDITH","1"
"ALIANZA FRENTE POPULAR","503","PROTAGONISMO Y PARTICIPACION","NEUQUEN","DIPUTADO NACIONAL","DOBRUSIN, RAUL JUAN","2"
"ALIANZA FRENTE POPULAR","503","PROTAGONISMO Y PARTICIPACION","NEUQUEN","DIPUTADO NACIONAL","RAMOS, JUAN MANUEL","1"
