"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","CHRISTIANSEN, ANELO ALCIDES","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","ALONSO, MARINA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","ARNEDO, JUAN","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","ROJAS, CESAR LUIS","4"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","PAEZ, ANITA","5"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","GADANO, CARLOS FRANCISCO","6"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","JAUFREGUI, GUSTAVO FEDERICO","7"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","MARTIN, ANA MARIA","8"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","MARIANO, JORGE JESUS","9"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","MORALES, MAURICIO","10"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","SZAPIRO, ALICIA MARIA","11"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","AYALA, FRANCISCO","12"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","PRESENTADO, CLAUDIO EDUARDO","13"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","PIÑEYRUA, SILVINA SANDRA","14"
"MOVIMIENTO AL SOCIALISMO","13","SoB","PARLAMENTARIO MERCOSUR DISTRITO NACIONAL(1)","PARLAMENTARIO MERCOSUR DISTRITO","MACEIRA, JUAN FACUNDO","15"
