"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","DIPUTADO NACIONAL TITULAR","AÑAZCO NIETO, AQUILES","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","DIPUTADO NACIONAL TITULAR","MARTIN, IRMA YOLANDA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","DIPUTADO NACIONAL TITULAR","GADANO, CARLOS FRANCISCO","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","CHRISTIANSEN, MARCELO DELFIN","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","DEL CASTILLO, OLGA ELIZABETH","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","URIBE, ALICIA","3"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","URIBE, GUILLERMO","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","CABEZAS, MIRTA ISABEL","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","SCALA, CARMELO","2"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","DIPUTADO NACIONAL TITULAR","QUINTILLAN, AMALIA","1"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","DIPUTADO NACIONAL TITULAR","ALIGIA, ARMANDO ANGEL","2"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","DIPUTADO NACIONAL TITULAR","GONZALEZ DARDIK, NORMA ALICIA","3"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","BRITOS, MATIAS FACUNDO","1"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","GONZALEZ, MARIA CRISTINA","2"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","QUINTANA, CARLOS JAVIER","3"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","RIVERO, HECTOR HORACIO","1"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","CESPEDES, NAHUEL MARTIN","1"
"OBRERO","161","1A - UNIDAD ROJO","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","HUENTEMILLA, BETIANA DEL LUJAN","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","DIPUTADO NACIONAL","FIERRO, MARIA CELESTE","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","DIPUTADO NACIONAL","SANCHEZ, EDUARDO JAVIER","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","DIPUTADO NACIONAL","HERNANDEZ, DANIEL DEL ROSARIO","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","DIPUTADO NACIONAL","PEÑAGUECHE, NATALIA GISELA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","DIPUTADO NACIONAL","DERGO, ANDREA CAROLINA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","DIPUTADO NACIONAL","SILVESTRE, CRISTIAN ROBERTO","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","PARLAMENTARIO","PAULIC, JORGE DAVID","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","PARLAMENTARIO","ROSAS, MONICA GRACIELA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","TRICOLOR","RIO NEGRO","PARLAMENTARIO","ORTIZ DERGO, MARIA VICTORIA","2"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","DIPUTADO NACIONAL TITULAR","RIERA, MARIA LUZ DEL CARMEN","1"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","DIPUTADO NACIONAL TITULAR","VERONESI, RODOLFO FERNANDO","2"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","DIPUTADO NACIONAL TITULAR","SORGUE, BIBIANA NOEMI","3"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","CONCINA, LUIS MIGUEL","1"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","CURZEL, NESTOR HUGO","2"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","GOMEZ, LIDIA ROSANA","3"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","PARRAVICINI, GUSTAVO DANIEL","1"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","MOLINA, HUGO GASTON","1"
"SOCIALISTA","50","ALFREDO BRAVO","RIO NEGRO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","MARTIN, MONICA TERESITA","2"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL TITULAR","CRUCIANI, FABIAN LORENZO","1"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL TITULAR","CASASOLA, BALKIS CECILIA","2"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL TITULAR","GUARIGLIA, MARCELO RUBEN","3"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","BRAMARDI, NANCY ESTER","1"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","CARREA, DANIEL ENRIQUE","2"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","VILLANUEVA, JADILLE ADRIANA","3"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","DOÑATE, CLAUDIO MARTIN","1"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","HORNE, SILVIA RENEE","2"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","RATTO, MARIA CELESTE","3"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","NERI, DAIANA DEL JESUS","1"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","CHIRONI, MATIAS","2"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","ARCEO, MARIANO JOSE SEBASTIAN","3"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","CEJAS, JORGE ALBERTO","1"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","MIGUEL, CESAR","1"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","DIEGUEZ, SUSANA ISABEL","2"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","SERGIO JAVIER, WISKI","1"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","FRETTES, MARIELA JORGELINA","2"
"SOCIALISTA","50","CARLOS GARCIA","RIO NEGRO","DIPUTADO NACIONAL SUPLENTE","FOLINO, NICOLAS RUBEN","3"
"ALIANZA CAMBIEMOS RIO NEGRO","502","AMARILLO BLANCO Y ROJO","RIO NEGRO","DIPUTADO NACIONAL","MATZEN, LORENA MARIA MATILDE","1"
"ALIANZA CAMBIEMOS RIO NEGRO","502","AMARILLO BLANCO Y ROJO","RIO NEGRO","DIPUTADO NACIONAL","DI COLA, WALTER JOSE","2"
"ALIANZA CAMBIEMOS RIO NEGRO","502","AMARILLO BLANCO Y ROJO","RIO NEGRO","DIPUTADO NACIONAL","MADARIAGA, AGUSTINA","3"
"ALIANZA CAMBIEMOS RIO NEGRO","502","AMARILLO BLANCO Y ROJO","RIO NEGRO","PARLAMENTARIO","FOULKES, JOSE LUIS","1"
"ALIANZA CAMBIEMOS RIO NEGRO","502","AMARILLO BLANCO Y ROJO","RIO NEGRO","PARLAMENTARIO","HERNANDEZ, CINTHYA GABRIELA","1"
"ALIANZA CAMBIEMOS RIO NEGRO","502","AMARILLO BLANCO Y ROJO","RIO NEGRO","PARLAMENTARIO","GRILL, JOSE FRANCISCO","2"
