"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"OBRERO","189","U - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","DEL PLA, CLAUDIO ARIEL","1"
"OBRERO","189","U - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","ALVAREZ, ALEJANDRA MARIELA","2"
"OBRERO","189","U - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","QUINTANA, JULIO OSCAR","3"
"OBRERO","189","U - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","TOLAY, RUBEN RUFINO","4"
"OBRERO","189","U - UNIDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","COLQUE, SILVIA ELIZABETH","1"
"OBRERO","189","U - UNIDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","ARANCIBIA, PABLO DARIO","2"
"OBRERO","189","U - UNIDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","MAIDANA, JIMENA BALBINA","3"
"OBRERO","189","U - UNIDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","LOPEZ ,PABLO SEBASTIAN","1"
"OBRERO","189","U - UNIDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GIL, VIOLETA","1"
"OBRERO","189","U - UNIDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","HUERGA, SAMUEL ANDRES","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","GOMEZ, CECILIA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","CHUNGARA, HUGO","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","SAGARNAGA, AYELEN","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","DIPUTADO NACIONAL TITULAR","GOMEZ GARZON, JULIO LENDRO","4"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","GUITIAN, HILDA NOEMI","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","ARIAS LOPEZ, HORTENCIA LILIANA","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","HOYOS, FACUNDO PABLO GASTON","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","BALLESTERO, SERGIO ENRIQUE","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ALVAREZ, SILVIA CRISTINA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","A - UNIDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","DAZA, CESAR AUGUSTO","2"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","DIPUTADO NACIONAL TITULAR","FALU, EDMUNDO ARIEL","1"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","DIPUTADO NACIONAL TITULAR","LAPASSET, MARIA DEL CARMEN","2"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","DIPUTADO NACIONAL TITULAR","CALIVA, LIA VERONICA","3"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","DIPUTADO NACIONAL TITULAR","GIRON, JULO GUILLERMO","4"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","DIPUTADO NACIONAL SUPLENTE","FLORES, ANGEL SERAFIN","1"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","DIPUTADO NACIONAL SUPLENTE","CAMACHO, CLAUDIA","2"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","DIPUTADO NACIONAL SUPLENTE","CALIVA, MARTIN GUILLERMO","3"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","MONZON, OSCAR ADOLFO","1"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GOMEZ DEL JUNCO, LILIANA BEATRIZ","1"
"ALIANZA FRENTE POPULAR","501","A - PROTAGONISMO Y PARTICIPACION","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ESCOTORIN, RAMIRO DANIEL","2"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","DIPUTADO NACIONAL TITULAR","DAVID, NESTOR JAVIER","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","DIPUTADO NACIONAL TITULAR","KOSINER, PABLO FRANCISCO JUAN","2"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","DIPUTADO NACIONAL TITULAR","MARTINICH, GABRIELA EVANGELINA","3"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","DIPUTADO NACIONAL TITULAR","BONETTO, NOELIA EDITH","4"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","DIPUTADO NACIONAL SUPLENTE","SEGURA GIMENEZ, DANIEL ALEJANDRO","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","DIPUTADO NACIONAL SUPLENTE","CALABRO, HECTOR MIGUEL","2"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","DIPUTADO NACIONAL SUPLENTE","CABEZAS, ROSSANA LIA","3"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","CORNEJO, HERNAN HIPOLITO","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","LOUTAIF, JULIO CESAR","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","A - CELESTE Y BLANCA K NESTOR KIRCHNER","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","LEGUINA, MARCELA DEL VALLE","2"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","DIPUTADO NACIONAL TITULAR","VILARIÑO, JOSE ANTONIO","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","DIPUTADO NACIONAL TITULAR","ASTUN, MARCELO FERNANDO","2"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","DIPUTADO NACIONAL TITULAR","NAVARRO, ALEJANDRA BEATRIZ","3"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","DIPUTADO NACIONAL TITULAR","VASQUEZ GARECA, ROBERTO ELEUTERIO","4"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","DIPUTADO NACIONAL SUPLENTE","FERNANDEZ, ELIA","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","DIPUTADO NACIONAL SUPLENTE","USTAREZ COLQUE, JUSTINO","2"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","DIPUTADO NACIONAL SUPLENTE","ETCHART, RAUL ALEJANDRO","3"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","LEAVY, SERGIO NAPOLEON","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","GOMEZ, ROMULA DINA","1"
"ALIANZA FRENTE PARA LA VICTORIA","502","B - NESTOR VIVE SOMOS EL PROYECTO","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","VILLA, JESUS RAMON","1"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","DIPUTADO NACIONAL TITULAR","POSTIGLIONE GARCIA, MARIA LAURA","1"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","DIPUTADO NACIONAL TITULAR","ZIGARAN, JORGE FEDERICO","2"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","DIPUTADO NACIONAL TITULAR","GARECA, MALVINA MERCEDES","3"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","DIPUTADO NACIONAL TITULAR","LOVERA, LUIS NESTOR","4"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","LIMACHI, DARIO CRISTIAN","1"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","GONZALEZ MONTENEGRO, SANDRA YANINA","2"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","DIPUTADO NACIONAL SUPLENTE","PALARIK, IGNACIO DANIEL","3"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","MAIGUA, CARLOS FEDERICO","1"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MORELLO, MARIA JOSEFINA","1"
"ALIANZA PROGRESISTAS","503","L - SALTA POR LA IGUALDAD","SALTA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","NOTARFRANCESCO, PEDRO JOSE","2"
"ALIANZA PROGRESISTAS","503","S - SEMBRANDO SOCIALISMO","SALTA","DIPUTADO NACIONAL TITULAR","MOREYRA, ERASMO GERMAN","1"
"ALIANZA PROGRESISTAS","503","S - SEMBRANDO SOCIALISMO","SALTA","DIPUTADO NACIONAL TITULAR","VELEIZAN, GABRIELA ELIZABETH","2"
