"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"ALIANZA COMPROMISO CON SAN JUAN","503","EQUIPO CON FUTURO VERDE Y BLANCO","SAN JUAN","DIPUTADO","- ALIANZA COMPROMISO CON SAN JUAN, LISTA: EQUIPO CON FUTURO VERDE Y BLANCO. DIPUTADO","50"
"NUEVA IZQUIERDA","68","IZQUIERDA TRICOLOR","SAN JUAN","DIPUTADO NACIONAL SUPLENTE","- NUEVA IZQUIERDA, LISTA: IZQUIERDA TRICOLOR. PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","6"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","DIPUTADO NACIONAL TITULAR","AVELIN, NANCY BARBARITA","1"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","DIPUTADO NACIONAL TITULAR","AMARFIL, ROLANDO PEDRO","2"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","DIPUTADO NACIONAL TITULAR","BRIZUELA, GEORGINA IMELDA           volver","3"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","DIPUTADO NACIONAL SUPLENTE","FUNES, ALBERTO CARLOS","1"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","DIPUTADO NACIONAL SUPLENTE","BUSTOS, ROLANDO ERNESTO","2"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","DIPUTADO NACIONAL SUPLENTE","NUÑEZ, DANIEL ROLANDO volver","3"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","PARLAMENTARIO MERCOSUR DISTRITO","BEATRICE, EDUARDO CARLOS            volver","1"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","PARLAMENTARIO MERCOSUR DISTRITO","ROSAS, CLAUDIA INES","1"
"CRUZADA RENOVADORA","153","UNIDAD BLANCA","SAN JUAN","PARLAMENTARIO MERCOSUR DISTRITO","PEREYRA, MARIA DORA        volver","2"
"ALIANZA FRENTE PARA LA VICTORIA","501","LO MEJOR ESTA POR VENIR","SAN JUAN","DIPUTADO NACIONAL","GIOJA, JOSE LUIS","1"
"ALIANZA FRENTE PARA LA VICTORIA","501","LO MEJOR ESTA POR VENIR","SAN JUAN","DIPUTADO NACIONAL","CASELLES, GRACIELA MARIA","2"
