"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO AL SOCIALISMO","13","SoB","SANTA CRUZ","DIPUTADO NACIONAL TITULAR","NAUTO, GUSTAVO DANIEL","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","SANTA CRUZ","DIPUTADO NACIONAL TITULAR","LESIW, MIRTA LORENA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","SANTA CRUZ","DIPUTADO NACIONAL SUPLENTE","SAMPAYO, MARIA FERNANDA","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","SANTA CRUZ","DIPUTADO NACIONAL SUPLENTE","SOTO AGUILANTE, ISNELDA","2"
"MOVIMIENTO AL SOCIALISMO","13","SoB","SANTA CRUZ","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","MIGANI, MONICA INES","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","SANTA CRUZ","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","IRUSTA, ROSA CLARA","1"
"MOVIMIENTO AL SOCIALISMO","13","SoB","SANTA CRUZ","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","BENZINI, JUAN CARLOS","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","SANTA CRUZ","DIPUTADO","POLIAK, EMILIO ALEJANDRO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","SANTA CRUZ","DIPUTADO","STEKAR, ANABEL IRENE","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","SANTA CRUZ","DIPUTADO","ALCAIN, JULIA ESTELA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","NUEVA IZQUIERDA","SANTA CRUZ","DIPUTADO","VILLARROEL, NOELIA GABRIELA","2"
