"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"ALIANZA CAMBIEMOS","503","A - CAMBIA SANTIAGO","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL SUPLENTE","- ALIANZA CAMBIEMOS, LISTA: A - CAMBIA SANTIAGO. PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","50"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL","TREJO, CLAUDIA ROXANA","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL","DOMINGUEZ, LUCIANO ADRIA•N","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL","CASTILLO, MARIA MARTA","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL","OLIVERA, MARIA ISABEL "CHABELA" volver","4"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL","TOLEDO, SANDRA ESTHER","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL","SERRANO, VICTOR ALFREDO","2"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL","ARAUJO, JESUS DEL CARMEN "PORO"          volver","3"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","PARLAMENTARIO","CORIA, GUSTAVO EDGARDO volver","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","PARLAMENTARIO","CASTILLO, RAMON DONATO","1"
"MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES","38","T - TRICOLOR","SANTIAGO DEL ESTERO","PARLAMENTARIO","LASTRA, CLAUDIA AZUCENA volver","2"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL TITULAR","GIMENEZ, JOSE FERNANDO DANIEL","1"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL TITULAR","GRIGGIO, PAOLA ANABEL","2"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL TITULAR","ROLDAN REY, EZEQUIEL GUILLERMO DAVID","3"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL TITULAR","HARON, LEILA BEATRIZ      volver","4"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL SUPLENTE","CAJAL, JESICA CAROLINA","1"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL SUPLENTE","AUGUSTO, PATRICIO NICOLAS","2"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL SUPLENTE","AGUILAR, RAMONA MARIA DE LOS ANGELES volver","3"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL SUPLENTE","- MOVIMIENTO LIBRES DEL SUR, LISTA: A - UNIDAD PROGRESISTA. PARLAMENTARIO MERCOSUR","4"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","DIPUTADO NACIONAL SUPLENTE","BRAVO, ALDO ADOLFO       volver","1"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","PARLAMENTARIO MERCOSUR","LEZAMA HID, MARIANELLA","1"
"MOVIMIENTO LIBRES DEL SUR","40","A - UNIDAD PROGRESISTA","SANTIAGO DEL ESTERO","PARLAMENTARIO MERCOSUR","MONDSCHEIN, VICTOR MARIO          volver","2"
"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA","501","1A - EL CAMBIO JUSTO","SANTIAGO DEL ESTERO","DIPUTADO","MIROLO, PABLO GUILLERMO","1"
