"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","LECHMAN, JORGE ANDRES 'TONY'","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","BOCKELMANN HUEICHA, MARIA HORTENCIA","2"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","OYARZUN SANTANA, FERNANDO DARIO","3"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","ROMERO, CARLOS","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","CEBALLOS, MIRIAM SUSANA DEL VALLE","2"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","FERNANDEZ PEZZANO, GASTON DIEGO","3"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","RECCHIA, MIGUEL ANGEL","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","VARGAS, MARIA OLINDA","1"
"MOVIMIENTO POPULAR FUEGUINO","154","A - LA PROVINCIA SOMOS TODOS","TIERRA DEL FUEGO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","SALGADO, LAURA MARGARITA","2"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","SALMAN, ELSA ESTELA","1"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","MENDEZ DOMINGUEZ, LUIS ENRIQUE","2"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","RIVERO, PATRICIA NOEMI","3"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","FLORES, JUAN FRANCISCO","1"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","MUNCH, GISELLE VIVIAN","2"
"POPULAR","174","A - ACCION POPULAR","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","MENCHACA, RICARDO GERMAN","3"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","BELOUS, NELIDA","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","CHIARI, MARIO EUGENIO","2"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","DIPUTADO NACIONAL TITULAR","MONTELONGO, JOSE ROBERTO","3"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","AMATTA, LUIS JOAQUIN","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","PRINOS, YAMILA GRISELDA","2"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","DIPUTADO NACIONAL SUPLENTE","GUTIERREZ, ANA MARIA","3"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","BETTS, ALEJANDRO JACOBO","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","MUÑOZ, HORACIO DANIEL","1"
"SOCIAL PATAGONICO","187","A - COLOR ROJO","TIERRA DEL FUEGO","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","FERRERO, NANCI BEATRIZ","2"
