"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","DUMIT, ESTEBAN EDUARDO","1"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","PAEZ, NANCY ROSA","2"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","CORONEL, MARIELA DEL VALLE","3"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","LAZARTE, MARIA VIVIANA","4"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","ROMERO, ANGEL ROBERTO","5"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","KEPES, GEORGINA","1"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","MARFIL, RAMIRO SEBASTIAN","2"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","DIPUTADO NACIONAL","TERNAVASIO, DIEGO ALEJANDRO","3"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","PARLAMENTARIO","PICABEA, JULIO AUGUSTO","1"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","PARLAMENTARIO","MEDINA, CAROLINA MARLENE","1"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","PARLAMENTARIO","DUMIT, OMAR ALEJANDRO","2"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","SENADOR NACIONAL","VARGAS AIGNASSE, GERONIMO","1"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","SENADOR NACIONAL","BRECHA, JOSEFINA NICOLASA","2"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","SENADOR NACIONAL","SBROCCO, MARIELA","1"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","SENADOR NACIONAL","TERAN, ARTURO JUAN","2"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","SENADOR NACIONAL","SANCHEZ OVADILLA, BLAS","1"
"MOVIMIENTO DE PARTICIPACION CIUDADANA","177","1A - 25 MAYO","TUCUMAN","SENADOR NACIONAL","GAVRILOFF, STELLA MARIS","2"
